Formulation,RemovedM,dGtotal,dG1,Z,Hybrid,OS,BV_vac,Charge_vac,Mag_vac,Mag_env,Mag_inst,BV_Oxygen,Total_d_electrons,d_up_tot,d_down_tot,d_diff,t2g,eg,band_center_diff,instabilityindex,Ionicradius
NiMnCo,Mn(1),2.852266504,7.793542563,25,1.454091585,3.5,3.921356019,11.5152,2.2992,-4.6961,-6.9953,2.238195285,5.1605,3.9233,1.2373,2.686,2.9111,2.2494,3.604292313,0.490894998,53
NiMnCo,Co(2),2.408641042,5.549917101,27,0.824775583,2.6,3.030441627,13.9795,0.1396,-1.5905,-1.7301,2.070845833,7.3239,3.7501,3.5738,0.1763,3.9281,3.3959,3.844298721,0.490894998,54.5
NiMnCo,Ni(3),1.122553918,4.172829977,28,0.549494545,2.4,2.755208538,15.0359,-0.8165,-3.3553,-2.5388,2.144467184,8.2557,3.7193,4.5364,0.8171,4.7211,3.5344,4.703335288,0.490894998,56
NiMnCo,Ni(4),1.63872866,4.689004719,28,0.549494545,2.4,2.755208538,15.0359,-0.8165,-3.3553,-2.5388,2.070845833,8.2557,3.7193,4.5364,0.8171,4.7211,3.5344,4.703335288,0.490894998,56
NiMnCo,Ni(5),0.43667129,3.486947349,28,0.397015574,2.2,2.373853816,15.0311,-1.2895,1.4369,2.7264,2.144467184,8.2444,3.5936,4.6508,1.0572,4.5311,3.7133,4.264041337,0.490894998,69
NiMnCo,Ni(6),0.936048641,3.986324701,28,0.397015574,2.2,2.373853816,15.0311,-1.2895,1.4369,2.7264,2.238195285,8.2444,3.5936,4.6508,1.0572,4.5311,3.7133,4.264041337,0.490894998,69
NiMnCo,Ni(7),0.717011393,3.767287452,28,0.355786063,2.1,2.707319436,15.0237,-0.8111,-1.7732,-0.9621,2.144467184,8.2906,3.5872,4.7034,1.1162,4.5702,3.7204,3.915066294,0.490894998,56
NiMnCo,Ni(8),1.421694102,4.471970161,28,0.355786063,2.1,2.707319436,15.0237,-0.8111,-1.7732,-0.9621,2.070845833,8.2906,3.5872,4.7034,1.1162,4.5702,3.7204,3.915066294,0.490894998,56
NiMnCo,Ni(9),1.347085284,4.397361343,28,0.610182788,2.5,2.808029329,15.0406,-0.7228,2.7716,3.4944,2.238195285,8.2477,3.7728,4.4748,0.702,4.596,3.6516,4.839279088,0.490894998,56
MnCoNi,Co(1),1.038803034,4.180079093,27,0.75664917,2.5,2.860584567,13.9998,0.0865,11.6971,11.6106,2.262126372,7.3308,3.706,3.6247,0.0813,3.9036,3.4273,4.489548562,0.464304381,54.5
MnCoNi,Ni(2),0.15718651,3.207462569,28,0.299739001,1.9,2.260525859,15.2029,-1.3353,11.0453,12.3806,2.133618469,8.3679,3.4824,4.8855,1.4031,4.7391,3.6289,4.328689875,0.464304381,69
MnCoNi,Mn(3),-0.102712609,4.83856345,25,1.266639589,3.5,3.653393701,11.5247,2.0166,8.4635,6.4469,2.232756942,4.9343,4.0231,0.9112,3.1119,2.8306,2.1037,4.427591803,0.464304381,58
MnCoNi,Mn(4),-0.102794787,4.838481272,25,1.266639589,3.5,3.653393701,11.5247,2.0166,8.4635,6.4469,2.133618469,4.9343,4.0231,0.9112,3.1119,2.8306,2.1037,4.427591803,0.464304381,58
MnCoNi,Mn(5),-0.53467223,4.40660383,25,1.008845832,3.2,3.086261236,11.5729,3.0534,10.2703,7.2169,2.232756942,4.8933,4.1529,0.7404,3.4125,2.7812,2.1121,4.313105027,0.464304381,58
MnCoNi,Mn(6),-0.50859412,4.432681939,25,1.008845832,3.2,3.086261236,11.5729,3.0534,10.2703,7.2169,2.262126372,4.8933,4.1529,0.7404,3.4125,2.7812,2.1121,4.313105027,0.464304381,58
MnCoNi,Mn(8),-0.354346389,4.58692967,25,0.929263224,2.9,3.094667395,11.5984,3.0786,8.8912,5.8126,2.133618469,5.1052,4.3688,0.7365,3.6323,2.945,2.1602,4.133114162,0.464304381,58
CoNiMn,Ni(1),1.454273422,4.504549481,28,0.323794641,2,2.349034946,15.3296,-1.2989,2.4602,3.7591,2.189134525,8.332,3.507,4.825,1.318,4.6829,3.6492,4.419823269,0.433053067,69
CoNiMn,Mn(2),2.723200335,7.664476394,25,1.559166167,3.6,3.81621345,11.5425,2.3094,-1.2247,-3.5341,2.261749236,5.1761,3.9389,1.2372,2.7017,2.9682,2.2079,4.933677672,0.433053067,53
CoNiMn,Co(3),1.88293442,5.024210479,27,0.744902288,2.4,2.878681282,13.9738,-0.0046,4.6852,4.6898,2.228072756,7.3893,3.6915,3.6978,0.0063,3.9307,3.4585,5.701865352,0.433053067,54.5
CoNiMn,Co(4),2.080211328,5.221487387,27,0.744902288,2.4,2.878681282,13.9738,-0.0046,4.6852,4.6898,2.261749236,7.3893,3.6915,3.6978,0.0063,3.9307,3.4585,5.701865352,0.433053067,54.5
CoNiMn,Co(5),2.087997188,5.229273247,27,0.729615966,2.4,2.891238823,13.9688,0.0337,-2.5697,-2.6034,2.228072756,7.3766,3.7052,3.6715,0.0337,3.8644,3.5121,5.011650674,0.433053067,54.5
CoNiMn,Co(6),2.051853923,5.193129983,27,0.729615966,2.4,2.891238823,13.9688,0.0337,-2.5697,-2.6034,2.189134525,7.3766,3.7052,3.6715,0.0337,3.8644,3.5121,5.011650674,0.433053067,54.5
CoNiMn,Co(7),2.039684851,5.18096091,27,0.72182209,2.4,2.873407759,13.9753,-0.006,1.0687,1.0747,2.228072756,7.3883,3.6908,3.6975,0.0067,3.8974,3.491,5.215847113,0.433053067,54.5
CoNiMn,Co(8),2.46218858,5.603464639,27,0.72182209,2.4,2.873407759,13.9753,-0.006,1.0687,1.0747,2.261749236,7.3883,3.6908,3.6975,0.0067,3.8974,3.491,5.215847113,0.433053067,54.5
CoNiMn,Co(9),1.974629274,5.115905333,27,0.756040375,2.4,2.872439657,13.9665,0.0447,2.0501,2.0054,2.189134525,7.3755,3.7092,3.6663,0.0429,3.8948,3.4806,4.682907768,0.433053067,54.5
CoFeAl,Fe(1),3.381363588,6.777639647,26,0.934073834,2.7,3.943509994,12.5579,0.9231,-0.1272,-1.0503,2.422456065,6.247,3.653,2.594,1.059,3.4401,2.8068,4.039193968,0.430948962,58.5
CoFeAl,Al(2),2.350681732,9.955957791,13,1.072081027,3,2.975172239,0.3954,0.002,0.8883,0.8863,2.226368043,0,0,0,0,0,0,3.832780344,0.430948962,53.5
CoFeAl,Co(3),2.432895444,5.574171503,27,0.772821944,2.4,2.938265549,13.8722,0.0007,-0.0741,-0.0748,2.271890443,7.396,3.6984,3.6976,0.0008,3.916,3.48,5.561258826,0.430948962,54.5
CoFeAl,Co(4),2.826193725,5.967469784,27,0.772821944,2.4,2.938265549,13.8722,0.0007,-0.0741,-0.0748,2.226368043,7.396,3.6984,3.6976,0.0008,3.916,3.48,5.561258826,0.430948962,54.5
CoFeAl,Co(5),1.5497355,4.691011559,27,0.705329486,2.4,2.947897432,13.8389,-0.0465,1.8153,1.8618,2.271890443,7.3975,3.6738,3.7237,0.0499,3.8925,3.505,5.509394399,0.430948962,54.5
CoFeAl,Co(6),1.663064366,4.804340426,27,0.705329486,2.4,2.947897432,13.8389,-0.0465,1.8153,1.8618,2.422456065,7.3975,3.6738,3.7237,0.0499,3.8925,3.505,5.509394399,0.430948962,54.5
