pl_name,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_bmassprov,st_teff,st_rad,st_mass,sy_dist
HD 97048 b,Disk Kinematics,2019,,130,1.18,2.5,Mass,10000,2.25,2.4,183.857
2MASS J19383260+4603591 b,Eclipse Timing Variations,2015,416,0.92,1.2,1.9,Mass,10868,0.34,0.48,396.332
DE CVn b,Eclipse Timing Variations,2018,4098.1,5.75,1.1,12.0293,Msin(i)/sin(i),3579,0.42,0.51,30.5225
DP Leo b,Eclipse Timing Variations,2009,10220,8.19,1.14,6.28,Mass,13500,0.01,0.69,305.684
HU Aqr AB b,Eclipse Timing Variations,2011,2390,3.6,1.14,5.9,Msin(i)/sin(i),5952,,0.88,192.1980787
HU Aqr AB c,Eclipse Timing Variations,2011,4368,5.4,1.15,4.5,Msin(i)/sin(i),5952,,0.88,192.1980787
KIC 5095269 b,Eclipse Timing Variations,2017,237.68977,0.8,1.13,7.693,Mass,6305.24,1.17,1.21,1188.54
NN Ser c,Eclipse Timing Variations,2010,5573.55,5.35,1.13,7.33,Mass,57000,,0.54,515.818
NN Ser d,Eclipse Timing Variations,2010,2883.5,3.43,1.19,2.3,Mass,57000,,0.54,515.818
NY Vir b,Eclipse Timing Variations,2011,3160,3.3,1.19,2.3,Mass,32780,0.15,0.46,544.024
NY Vir c,Eclipse Timing Variations,2019,8799,,1.14,5.54,Msini,32780,0.15,0.46,544.024
RR Cae b,Eclipse Timing Variations,2012,4343.5,5.3,1.16,4.2,Msini,3904,0.19,0.44,21.1916
UZ For b,Eclipse Timing Variations,2011,5840,5.9,,6.3,Mass,5286.9,,0.7,239.6038748
UZ For c,Eclipse Timing Variations,2011,1916.25,2.8,,7.7,Mass,5286.9,,0.7,239.6038748
1RXS J160929.1-210524 b,Imaging,2008,,330,1.664,8,Mass,4060,1.31,0.85,139.135
2M0437 b,Imaging,2021,,118,1.16,4,Mass,3100,0.84,0.17,128.484
2MASS J01033563-5515561 AB b,Imaging,2013,,84,1.1,13,Mass,,,0.19,47.2
2MASS J04414489+2301513 b,Imaging,2010,,15,1.13,7.5,Mass,2936,0.23,0.02,120.423987
2MASS J12073346-3932539 b,Imaging,2004,,55,1.15,5,Mass,2825,0.22,0.02,64.308
2MASS J22362452+4751425 b,Imaging,2016,,230,1.1,12.5,Mass,4045,0.64,0.6,69.5737
51 Eri b,Imaging,2015,11688,13.2,1.19,2,Mass,7295,1.49,1.75,29.7575
AB Aur b,Imaging,2022,,93.9,1.12,9,Mass,9770,2.96,2.4,162.127
CFBDSIR J145829+101343 b,Imaging,2011,10037.5,2.6,1.11,10.5,Mass,580.5,,0.02,23.1
CFHTWIR-Oph 98 b,Imaging,2021,8040000,200,1.86,7.8,Mass,2320,0.24,0.01,
CHXR 73 b,Imaging,2006,,210,1.1,12.569,Mass,3099,,0.35,190.374
COCONUTS-2 b,Imaging,2021,402000000,7506,1.11,6.3,Mass,3406,0.39,0.37,10.8864
DH Tau b,Imaging,2004,,330,2.7,11,Mass,4371,0.27,0.33,134.846
GJ 504 b,Imaging,2013,,43.5,1.16,4,Mass,6234,1.26,1.22,17.5299
GU Psc b,Imaging,2014,,2000,1.265,11.3,Mass,4031.81,0.45,0.33,47.5501
HD 106906 b,Imaging,2013,,650,1.11,11,Mass,6516,2.12,1.5,103.029
HD 203030 b,Imaging,2006,,487.1,1.29,11,Mass,5603,0.86,0.94,39.2503
HD 95086 b,Imaging,2013,,55.7,1.15,5,Mass,7595,1.49,1.6,86.2279
HIP 65426 b,Imaging,2017,,92,1.5,9,Mass,8840,1.77,1.96,108.875
HR 8799 b,Imaging,2008,170000,68,1.2,7,Mass,7204.58,1.49,1.5,41.2441
HR 8799 c,Imaging,2008,69000,38,1.2,10,Mass,7204.58,1.49,1.5,41.2441
HR 8799 d,Imaging,2008,37000,24,1.2,10,Mass,7204.58,1.49,1.5,41.2441
HR 8799 e,Imaging,2010,20815.6,16.4,1.17,10,Mass,7400,1.49,1.51,41.2441
LkCa 15 b,Imaging,2015,,14.7,,,Msini,4194,1.61,,158.152
LkCa 15 c,Imaging,2015,,18.6,,,Msini,4194,1.61,,158.152
PDS 70 b,Imaging,2018,43500,20,2.72,3,Mass,3972,1.26,0.76,113.064
PDS 70 c,Imaging,2019,,34,2.04,2,Mass,3972,1.06,0.76,113.064
ROXs 42 B b,Imaging,2013,,157,1.12,9,Mass,3433,1.34,1,143.59
Ross 458 c,Imaging,2010,,1100,1.25,6,Mass,3646,0.56,0.56,11.5094
SR 12 AB c,Imaging,2010,,,1.1,13,Mass,3828.93,1.1,,112.3172158
TYC 8998-760-1 c,Imaging,2020,,320,1.1,6,Mass,4573,0.95,1,94.6177
VHS J125601.92-125723.9 b,Imaging,2015,,102,1.11,11.2,Mass,2620,,0.07,12.7
WD 0806-661 b,Imaging,2011,,2500,1.13,7.5,Mass,9552,,0.62,19.2444
YSES 2 b,Imaging,2021,,115,1.14,6.3,Mass,4749,1.19,1.1,109.406
b Cen AB b,Imaging,2021,1790000,556,1.11,10.9,Mass,,,5.5,98.0935
bet Pic b,Imaging,2008,7665,9.1,1.65,11,Mass,8038.68,1.54,1.76,19.7442
KMT-2016-BLG-1107L b,Microlensing,2019,,0.342,1.17,3.283,Mass,,,0.09,6651
KMT-2016-BLG-1397L b,Microlensing,2018,,5.1,1.13,7,Mass,,,0.45,6600
KMT-2016-BLG-1820L b,Microlensing,2018,,1.08,1.15,4.57,Mass,,,0.04,6260
KMT-2016-BLG-1836L b,Microlensing,2019,,3.5,1.19,2.2,Mass,,,0.49,7100
KMT-2016-BLG-2364L b,Microlensing,2020,,2.63,1.16,3.93,Mass,,,0.5,6440
KMT-2016-BLG-2397L b,Microlensing,2020,,3.64,1.18,2.63,Mass,,,0.64,4880
KMT-2016-BLG-2605L b,Microlensing,2021,,0.681,1.25,0.771,Mass,,,0.06,6421
KMT-2017-BLG-0165L b,Microlensing,2018,,3.45,0.575,0.11,Mass,,,0.76,4530
KMT-2017-BLG-1038L b,Microlensing,2019,,1.8,1.19,2,Mass,,,0.37,6000
KMT-2017-BLG-1146L b,Microlensing,2019,,1.6,1.25,0.71,Mass,,,0.33,6500
KMT-2017-BLG-2509L b,Microlensing,2021,,2.14,1.19,2.09,Mass,,,0.46,7040
